,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,Viscosity Value (Pa * s),Viscosity Uncertainty (Pa * s),Source
0,b62f2ea4a5844fb8947aa9f64b47ae11,298.15,101.0,Liquid,1,CCCCCC,Solvent,1.0,,,,,,,,,,0.000294,9.5e-06,10.1007/s10765-005-5572-8
2,8ef1ecd904b7409baf4657282d284d04,298.15,101.0,Liquid,1,C1CCCCC1,Solvent,1.0,,,,,,,,,,0.000898,2.25e-05,10.1007/s10765-005-5572-8
4,a7f5cb8ff84f4dd4a46eaa7141c36467,298.15,101.0,Liquid,1,CCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.000859,2.15e-05,10.1007/s10765-005-5572-8
6,0dbfc59b77e340168fb379a19dd27e52,298.15,101.0,Liquid,1,CCCCCCCCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.003039,6.85e-05,10.1007/s10765-005-5572-8
8,81976dd842494a7e834c5a3011d32322,298.15,101.0,Liquid,1,CCCCCC,Solvent,1.0,,,,,,,,,,0.000294,9.5e-06,10.1007/s10765-005-5572-8
22,ae8e5f7d8d7c45cab37d3205939c45c7,298.15,101.0,Liquid,1,C1CCCCC1,Solvent,1.0,,,,,,,,,,0.000898,2.25e-05,10.1007/s10765-005-5572-8
38,eeec2c6b51dc4e0f9d6e6b2b7e228a91,298.15,101.0,Liquid,1,CCCCCC,Solvent,1.0,,,,,,,,,,0.000294,9.5e-06,10.1007/s10765-005-5572-8
52,a49bc0c125934a43bf00a404461a98bf,298.15,101.0,Liquid,1,CCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.000859,2.15e-05,10.1007/s10765-005-5572-8
68,27f26c1bbf5c4df6abbef5499b6e3a2b,298.15,101.0,Liquid,1,CCCCCC,Solvent,1.0,,,,,,,,,,0.000294,9.5e-06,10.1007/s10765-005-5572-8
82,797fcbb91dcb40a99d6be25c3b6ec01e,298.15,101.0,Liquid,1,CCCCCCCCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.003039,6.85e-05,10.1007/s10765-005-5572-8
3,6c9845f9ce5e42d69e45b232eb806672,303.15,101.0,Liquid,1,C1COCO1,Solvent,1.0,,,,,,,,,,0.0005486,1.495e-05,10.1007/s10765-007-0220-0
0,a8ce645000394e3a81caeca767d48925,298.15,101.325,Liquid,1,OCCOCCO,Solvent,1.0,,,,,,,,,,0.030012,0.0004975,10.1007/s10765-008-0399-8
6,aac209f2b0f94ac8bc6785369c327357,298.15,101.325,Liquid,1,OCCOCCOCCO,Solvent,1.0,,,,,,,,,,0.030012,0.0004975,10.1007/s10765-008-0399-8
12,22a5b5b96d5e4ee28e445dcf1e4adeb3,298.15,101.325,Liquid,1,Clc1ccccc1,Solvent,1.0,,,,,,,,,,0.000755,2.15e-05,10.1007/s10765-008-0399-8
18,db9f02d01ec04eae848c312cf2eb809c,298.15,101.325,Liquid,1,Brc1ccccc1,Solvent,1.0,,,,,,,,,,0.001041,2.65e-05,10.1007/s10765-008-0399-8
24,5adfd68a14c64bcfb113ad5c1bafede3,298.15,101.325,Liquid,1,O=[N+]([O-])c1ccccc1,Solvent,1.0,,,,,,,,,,0.001791,4.25e-05,10.1007/s10765-008-0399-8
1,d71a36b113fb4aac876de8a2c366ac85,303.0,101.3,Liquid,1,CO,Solvent,1.0,,,,,,,,,,0.000518,7.15e-06,10.1007/s10765-008-0444-7
